Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,-9.43197407,28.60000117,8.832277803,1.414117993,11.22971483,5.357403247,13.82631955,3.92498382,21.39052839,14.36244147,0.426354777,12.75228709,5.600744659,2.724543362,1.451314661,2.260314203,2.647003203,1.189228129,3.911603416,-2.351100672,-20.73883937,-6.240171992,2.266943736,..
Afghanistan,AFG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.004827601,0.024168568,1.30694987,1.278493252,3.577104201,4.368673104,3.413772973,1.935701714,0.455360445,0.451889146,1.20311799,0.29302518,0.285440894,0.239801184,0.209664795,0.884000463,0.516606085,0.274796792,0.661572218,0.124495985,0.064993957,0.144466947,0,0,..
Afghanistan,AFG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,1.0093,0.9402,0.9388,1.0172,0.9024,1.2763,1.4185,2.0642,3.9029,6.1659,7.8684,11.5231,9.8844,8.4287,7.9588,8.4272,7.6117,10.3972,11.8099,12.1046,12.1436,12.4864,11.298,11.6486,12.0684
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,55.005,55.511,56.225,57.171,57.81,58.247,58.553,58.956,59.708,60.248,60.702,61.25,61.735,62.188,62.26,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617,66.035,..
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,46.70989455,51.41171637,72.88546961,67.58466515,..
Afghanistan,AFG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.462858718,8.86373066,4.628395874,5.33326426,5.266261739,5.130821931,6.01898124,6.500092612,6.907062307,2.690751524,2.973154427,2.463516839,0.98412988,1.707228318,2.240226954,2.227704075,3.908935514,3.283175933,3.671419281,2.062577902,-3.313756369,8.969576191,4.826800623,4.015417169,4.045928451
Albania,ALB,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,3.989320711,5.107088686,2.990031159,3.068687302,4.607822786,3.178998145,3.553219138,5.867403518,9.406653201,10.90682015,9.01744998,8.083292858,7.495975133,9.80035898,8.648466357,8.62740637,8.711472254,7.714113363,7.831091461,7.70621465,7.018651545,6.75791458,7.579340429,6.900369509,6.323494661
Albania,ALB,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,3.2329,3.4396,4.0067,4.2116,4.4144,4.1489,4.1351,4.246,4.195,4.2836,4.567,5.0007,4.5385,4.7703,5.1022,4.8756,4.5382,5.3613,5.3341,4.984,4.5676,5.1122,4.5239,4.2226,4.2437
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.826,75.083,75.299,75.557,75.951,76.427,76.994,77.691,78.248,78.509,78.414,78.303,78.084,77.995,78.029,78.358,78.643,78.9,79.238,79.467,77.824,76.844,78.769,79.602,..
Albania,ALB,Trade (% of GDP),NE.TRD.GNFS.ZS,61.60926104,64.24744626,65.99146503,64.8232151,65.03793832,69.11629266,72.20190895,79.91190089,75.24854728,73.32135756,75.53253297,80.69899853,76.96835832,75.75061856,75.02120231,71.27944766,74.01445045,76.78738179,75.69407837,75.38212893,59.52069944,75.59040409,84.69804359,82.3524934,79.45463608
Albania,ALB,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1449.647413,1351.230796,1578.165919,1469.264539,1797.525487,1722.07285,1218.360146,1213.124369,1617.744156,1835.684072,1943.343354,2205.70392,2147.720075,2603.569453,2405.393099,2212.87134,2132.76301,2327.544052,2502.556819,2553.936228,2642.694425,2834.407465,2840.960077,2888.867257,..
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.800000002,2.999999999,5.4,6.500000001,4.5,5.4,2.899999999,3.100000001,2.499999999,1.2,4.800000001,2.999999999,2.4,2.600000001,4.099999999,3.200000001,3.9,1.499999999,1.400000001,0.899999999,-4.999999999,3.799999999,3.600000001,4.1,3.699999999
Algeria,DZA,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,0.511220957,1.873492382,1.731188975,0.868036712,0.962586876,1.07990333,1.495723352,1.183818154,1.462773446,1.827421647,1.293904675,1.177673291,0.660551954,0.736559065,0.628688968,-0.286832291,0.906300706,0.647902696,0.753576089,0.713947308,0.693816015,0.46672848,0.107187812,0.489819143,0.45537073
Algeria,DZA,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,87.9391,85.8235,89.6877,96.5063,96.626,101.4002,105.5039,108.9161,113.7088,116.0891,118.6168,124.8035,140.2699,145.7286,155.033,164.5785,160.7458,166.3203,174.8053,181.6864,171.9505,181.3215,189.1886,190.5786,186.3584
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.576,71.025,71.644,71.906,72.536,72.836,73.116,73.346,73.618,73.871,74.144,74.383,74.609,74.809,74.992,75.159,75.31,75.431,75.555,75.682,73.257,75.208,76.129,76.261,..
Algeria,DZA,Trade (% of GDP),NE.TRD.GNFS.ZS,62.85834364,54.52964912,56.58960528,57.7691353,61.35799757,66.84046022,65.91529197,67.54547339,71.02849225,64.28475472,63.49121599,62.22008996,60.75763933,59.15100816,56.92354197,53.20462259,49.76093279,49.82081617,52.43616768,46.50684261,40.38975656,46.83705926,51.19008937,43.73979845,40.13457412
Algeria,DZA,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,686.3536578,711.8139443,733.2090636,788.5735803,805.6813036,891.714578,862.8784874,893.6976285,944.9417484,862.4856634,1010.715195,1115.96836,1229.341655,1269.791817,1353.091648,1438.572653,1470.353485,1554.499633,1568.473006,1651.177957,1591.977093,1681.482396,1756.587213,1827.95251,..
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,0.965517241,0.409836066,-0.408163265,-4.098360656,1.851851852,-2.657342657,-4.166666667,0.299850075,0,-4.334828102,-2.5,1.762820513,3.149606299,-1.679389313,-6.98757764,2.671118531,-0.487804878,4.411764706,-0.782472613,1.735015773,..,..
American Samoa,ASM,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,71.443,71.573,71.755,71.698,72.277,72.382,72.397,72.365,72.43,70.839,72.587,72.662,72.709,72.769,72.687,72.654,72.64,72.801,72.794,72.751,72.672,72.708,72.752,72.852,..
American Samoa,ASM,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,210.9375,207.4427481,202.3575639,223.2,229.8174442,218.1467181,249.8214286,161.3333333,157.9406632,157.5438596,176.40625,173.8244514,174.8055988,162.4071322,159.1654247,161.4379085,171.8309859,156.568779,154.368932,136.8,124.684271,..,..
American Samoa,ASM,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.528362361,8.119357722,4.546362214,8.694203716,8.135676338,5.397795985,4.808688699,1.553188141,-5.559186369,-5.302846543,-1.974958,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.18393994,8.28677879,9.564612256,2.58355481,3.371820326
Andorra,AND,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13.38180727,9.432284997,14.58265594,17.57023506,7.2859753,6.642667437
Andorra,AND,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,81.863,82.162,82.448,82.718,82.815,83.086,83.374,83.632,83.855,84.1,84.197,84.296,84.334,84.406,84.485,84.532,84.489,84.359,84.242,84.098,79.418,82.331,84.016,84.041,..
Andorra,AND,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.054624234,4.205998556,13.66568876,3.487312401,11.41986339,14.15477753,11.84181788,13.00268895,10.78663605,1.995589098,5.293665728,3.593869602,8.503122839,4.883061297,4.655723563,0.763177711,-1.700530363,-0.149396226,-0.594411227,-0.204680246,-4.042447246,2.102752519,4.216002585,1.26330814,4.423906644
Angola,AGO,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,9.62386615,24.0090757,10.07135573,17.58405886,8.138490328,-3.149620462,-0.064300949,-1.223122662,1.699527939,2.6990924,-3.377619279,-2.408388368,-1.020128391,-4.78350487,2.38352427,9.77951545,-0.299804386,-8.766963802,-7.212462161,-5.076494402,-3.171436208,-5.474034094,-5.028992886,-1.977863902,-1.098688117
Angola,AGO,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,16.512,16.1923,15.9155,17.3297,17.6903,15.6389,16.3203,17.0559,19.1195,21.0889,22.7399,23.6501,24.7162,28.5343,30.8873,33.0865,31.2748,27.9951,25.8142,26.9963,20.538,25.5641,26.6839,27.336,28.1004
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.501,47.032,47.874,50.218,51.123,52.13,52.965,54.2,55.281,56.225,57.242,58.093,58.916,59.705,60.396,61.042,61.619,62.122,62.622,63.051,63.116,62.958,64.246,64.617,..
Angola,AGO,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,90.57082097,90.68071618,90.38603847,95.34145929,84.62460412,97.2256307,108.6804087,102.2631833,90.99406314,89.03694434,81.93947855,77.34980137,69.58014245,54.97938088,47.01556614,45.66434235,58.91648008,60.71482433,54.34422868,61.52621367,55.25477327,53.03348363,50.84223056
Angola,AGO,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,76.19697325,83.59602389,86.97057815,96.80271284,88.86894669,102.3784934,129.5510295,135.1874175,168.4535019,197.3252194,206.9987647,206.9504977,271.7119969,276.0874766,310.3741282,306.167407,331.6649002,315.1992971,370.7365733,410.8645663,437.6533506,392.3558346,392.5070469,..,..
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.203552126,-4.548109771,1.027234861,6.076636664,5.767103383,6.473689418,12.70814749,9.315182723,-0.014006598,-11.96287947,-7.840506837,-1.958742622,3.373142739,-0.60098233,2.198291887,1.421619976,4.120367544,2.71272658,6.712004872,3.172221937,-18.86877652,8.172863112,9.107806234,2.427363001,3.65638766
Antigua and Barbuda,ATG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,10.71076287,16.61177788,10.34536344,12.67967699,10.1893673,10.818663,22.14752352,23.29947517,9.859357597,6.05699272,7.218601147,5.408828464,9.147097587,7.007593218,3.355541633,7.932232019,6.540798484,9.855756633,12.17751936,7.756302471,6.827660268,18.08949005,16.78322529,16.34966028,12.25908313
Antigua and Barbuda,ATG,Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),EN.GHG.CO2.MT.CE.AR5,0.1357,0.1326,0.1501,0.1637,0.1664,0.1725,0.1962,0.2146,0.2311,0.2667,0.2789,0.2128,0.2268,0.2598,0.2797,0.291,0.3149,0.2772,0.2872,0.3426,0.326,0.3315,0.343,0.3441,0.3562
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.819,75.108,75.237,75.313,75.329,75.364,75.506,75.72,76.075,76.386,76.701,77.023,77.1,77.05,76.912,76.892,76.968,77.03,77.132,77.168,77.161,77.197,77.483,77.598,..
Antigua and Barbuda,ATG,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,141.5461611,130.0715499,132.0259179,127.6643236,130.6551527,137.5377836,94.28952989,101.0749606,117.7035278,..,..
Antigua and Barbuda,ATG,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.900484814,10.44181199,6.020745375,-1.85578803,-1.342930722
Argentina,ARG,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,3.665790595,0.806164135,2.198958195,1.294810869,2.505017516,2.649354415,2.381068545,2.251294236,2.689900965,1.206439226,2.675161719,2.044659979,2.8066719,1.779205536,0.96240665,1.977134618,0.584748941,1.789365041,2.232531577,1.485006876,1.266169243,1.368380832,2.398460118,3.811908799,1.824095229
